Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Chitnis T., Glanz B.I., Gonzalez C., Healy B.C., Saraceno T.J., Sattarnezhad N., Diaz-Cruz C., Polgar-Turcsanyi M., Tummala S., Bakshi R., Bajaj V.S., Ben-Shimol D., Bikhchandani N., Blocker A.W., Burkart J., Cendrillon R., Cusack M.P., Demiralp E., Jooste S.K., Kharbouch A., Lee A.A., Lehár J., Liu M., Mahadevan S., Murphy M., Norton L.C., Parlikar T.A., Pathak A., Shoeb A., Soderberg E., Stephens P., Stoertz A.H., Thng F., Tumkur K., Wang H., Rhodes J., Rudick R.A., Ransohoff R.M., Phillips G.A., Bruzik E., Marks W.J., Weiner H.L., Snyder T.M.",2019,"Chitnis et al, 2019",Quantifying neurologic disease using biosensor measurements in-clinic and in free-living settings in multiple sclerosis,10.1038/S41746-019-0197-7,25 (92.0),46.5 (7.4),not reported,"EDSS: 3.4 (mean), range: 1.0-6.5",16 (5),not reported,not reported,none,"Cardiac and Activity monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 3 (real-life seeting), 9 (lab setting)
Primary position: sternum, lower back, waist, wrist, upper leg, ankle",both,8 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
R.E. Bollaert,2019,"Bollaert et al, 2019",Self-efficacy and physical and cognitive function in older adults with multiple sclerosis,10.7224/1537-2073.2018-001,40 (62.5),65.3 (4.3),RR: n=27,EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Boukhvalova, AK; Fan, O; Weideman, AM; Harris, T; Kowalczyk, E; Pham, L; Kosa, P; Bielekova, B",2019,"Boukhvalova et al, 2019",Smartphone Level Test Measures Disability in Several Neurological Domains for Patients With Multiple Sclerosis,10.3389/FNEUR.2019.00358,"93 (53.8)
(MS type:
RR: n=35, 
SP: n=19, 
PP: n=38)","MS type:
RR: 50 (10.2), 
SP: 60 (8.2), 
PP: 58.8 (7.8)","RR: n=35,
PP: n=38,
SP: n=19","EDSS:
RR: 3.3 (1.6), 3.0 (median), range: 1.0-6.5
SP: 6.0 (1.1), 6.5 (median), range: 3.5-7.5
PP: 5.7 (1.3), 6.0 (median), range: 2.5-8.0","MS type:
RR: 12.4 (10.1),
SP: 26.8 (11.2),
PP: 15.7 (8.3)",not reported,not reported,"healthy 
n=15 (53% female)
age: not reported","Android smartphone
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: hand",both,6 months,yes,yes,yes,yes,applies partially,yes,yes,yes,no,accelerometer,3
"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Social-cognitive theory variables as correlates of sedentary behavior in multiple sclerosis: Preliminary evidence,10.1016/J.DHJO.2019.05.002,275 (81.1),57 (10.1),RR: n=181,not reported,20.4 (9.7),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,no,applies partially,yes,yes,no,yes,accelerometer,3
"Grinberg Y., Berkowitz S., Hershkovitz L., Malcay O., Kalron A.",2019,"Grinberg et al, 2019",The ability of the instrumented tandem walking tests to discriminate fully ambulatory people with MS from healthy adults,10.1016/J.GAITPOST.2019.02.022,25 (68.0),35.2 (8.6),not reported,not reported,not reported,not reported,not reported,"healthy 
n=25 (72% female)
age: 34.3 (6.1)","APDM
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, foot",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Braakhuis H.E.M., Berger M.A.M., Van Der Stok G.A., Van Meeteren J., De Groot V., Beckerman H., Bussmann J.B.J., Malekzadeh A., Van Den Akker L.E., Looijmans M., Sanches S.A., Dekker J., Collette E.H., Van Oosten B.W., Teunissen C.E., Blankenstein M.A., Eijssen I.C.J.M., Rietberg M., Heine M., Verschuren O., Kwakkel G., Visser-Meily J.M.A., Van De Port I.G.L., Lindeman E., Blikman L.J.M., Van Meeteren J., Bussmann J.B.J., Stam H.J., Hintzen R.Q., Hacking H.G.A., Hoogervorst E.L., Frequin S.T.F.M., Knoop H., De Jong B.A., Bleijenberg G., De Laat F.A.J., Verhulsdonck M.C., Van Munster E.T.L., Oosterwijk C.J., Aarts G.J.",2019,"Braakhuis et al, 2019",Three distinct physical behavior types in fatigued patients with multiple sclerosis,10.1186/S12984-019-0573-1,212 (73.6),47.9 (10.4),"RR: n=155,
PP: n=22,  
SP: n=21, 
other: n=14",EDSS: 2.5 [1.5],6.4 (7.5),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Block V.J., Zhao C., Hollenbach J.A., Olgin J.E., Marcus G.M., Pletcher M.J., Henry R., Gelfand J.M., Cree B.A.C.",2019,"Block et al, 2019",Validation of a consumer-grade activity monitor for continuous daily activity monitoring in individuals with multiple sclerosis,10.1177/2055217319888660,31 (54.8),53.4 (11.7),"RR: n=16,
P: n=15","EDSS: 4.0 (mean), range: 0-6.5",17.5 [8.5-23],not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Validity of Sitting Time Scores From the International Physical Activity Questionnaire-Short Form in Multiple Sclerosis,10.1037/REP0000280,295 (75.6),59.7 (10.1),RR: n=181,not reported,20.4 (9.7),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,no,no,yes,yes,no,yes,accelerometer,3
"Sasaki J.E., Motl R.W., McAuley E.",2019,"Sasaki et al, 2019",Validity of the Marshall Sitting Questionnaire in people with multiple sclerosis,10.1080/02640414.2018.1554614,63 (76.2),56.6 (7.3),"RR: n=50, 
SP: n=7, 
P: n=3, 
other: n=3",not reported,not reported,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,applies partially,no,applies partially,yes,yes,no,yes,accelerometer,3
"Schwab P., Karlen W.",2020,"Schwab et al, 2020",A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data,10.1109/JBHI.2020.3021143,"774 (not reported)
(Training: n=542 (51.9%), 
Validation: n=77 (52%), 
Test: n=155 (51.6%))",not reported,not reported,not reported,not reported,not reported,not reported,"healthy 
n=372 (female ratio not reported)
age:not reported","Floodlight
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Primary position: pocket, hand",real-life setting,not reported,yes,applies partially,applies partially,no,no,applies partially,applies partially,yes,yes,"accelerometer, gyroscope, touchscreen",3
"Shema-Shiratzky S., Hillel I., Mirelman A., Regev K., Hsieh K.L., Karni A., Devos H., Sosnoff J.J., Hausdorff J.M.",2020,"Shema-Shiratzky et al, 2020",A wearable sensor identifies alterations in community ambulation in multiple sclerosis: contributors to real-world gait quality and physical activity,10.1007/S00415-020-09759-7,44 (72.7),49.2 (10.7),RR: n=44,EDSS: 3.5 [2.5-5.0],13.3 (9.3),not reported,not reported,"healthy 
n=60 (51% female)
age: 52.1 (7.1)","Opal system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",both,7 days,yes,yes,yes,yes,no,yes,yes,no,yes,accelerometer,3
"Mosquera-Lopez C., Wan E., Shastry M., Folsom J., Leitschuh J., Condon J., Rajhbeharrysingh U., Hildebrand A., Cameron M.H., Jacobs P.G.",2020,"Mosquera-lopez et al, 2020",Automated Detection of Real-World Falls: Modeled from People with Multiple Sclerosis,10.1109/JBHI.2020.3041035,25 (68.0),"54 (mean), range: 33-76","RR: n=11,
PP: n=6,
SP: n=8",EDSS: range: 4.0-6.0,not reported,not reported,not reported,none,"MotioWear
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,8 weeks,yes,yes,yes,yes,yes,yes,applies partially,applies partially,applies partially,accelerometer,3
K. Daunoraviciene,2020,"Daunoraviciene et al, 2020",Biomechanical markers of impaired motor coordination,10.1109/MSM49833.2020.9201642,31 (61.3),"sex:
women: 40 (12.3)
men: 34.4 (11.3)",not reported,"EDSS: 3.71 (1.43), range: 2.0-6.0",not reported,not reported,not reported,"healthy 
n=23 (74% female)
age: women: 28 (4.0), men: 31.14 (5.7)","Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Primary position: upper leg, lower leg, foot",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
K.K.V. Mate,2020,"Mate et al, 2020",Clinically assessed walking capacity versus real-world walking performance in people with multiple sclerosis,10.7224/1537-2073.2019-047,125 (78.4),45.4 (10.0),not reported,not reported,6.1 (3.4),not reported,not reported,none,"activPAL3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",real-life setting,7 days,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,accelerometer,3
"Næss-Schmidt E., Pedersen A., Christiansen D., Andersen N.-B., Brincks J., Grimm B., Nielsen J., Mechlenburg I.",2020,"Naess-Schmidt et al, 2020",Daily activity and functional performance in people with chronic disease: A cross-sectional study,10.1080/2331205X.2020.1713280,28 (78.6),56.3 (8.8),not reported,not reported,"12.4 (7.4)	",not reported,not reported,"mixed 
stroke: n=22 (55%, female), age: 65.1 (10.8);
PD: n=34 (29% female), age:  67.9 (7.8);
RA: n=15 (100% female), age: 57.3 (17.0)","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",real-life setting,7 days,applies partially,yes,yes,no,yes,applies partially,applies partially,no,yes,accelerometer,3
"Sandroff B.M., Motl R.W.",2020,"Sandroff et al, 2020",Device-Measured Physical Activity and Cognitive Processing Speed Impairment in a Large Sample of Persons with Multiple Sclerosis,10.1017/S1355617720000284,385 (78.2),49.9 (11.6),"RR: n=299, 
P: n=45",PDDS: 2.0 [4.0],12.3 ± 9.4,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Cohen M., Mondot L., Fakir S., Landes C., Lebrun C.",2020,"Cohen et al, 2020",Digital biomarkers can highlight subtle clinical differences in radiologically isolated syndrome compared to healthy controls,10.1007/S00415-020-10276-W,21 (66.7),"44 (mean), range: 25-66",radiologically isolated syndrome: n=21,not reported,not reported,not reported,not reported,"healthy 
n=32 (72% female)
age: 42.4 (mean), range: 20-58","iPhone X smartphone
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",lab setting (controlled),not reported,yes,applies partially,yes,yes,yes,applies partially,applies partially,no,yes,smartphone/touchscreen,NA
"Pau M., Porta M., Coghe G., Frau J., Lorefice L., Cocco E.",2020,"Pau et al, 2020",Does multiple sclerosis differently impact physical activity in women and man? A quantitative study based on wearable accelerometers,10.3390/IJERPH17238848,45 (51.1),"sex:
women: 49.4 (9.0), 
men: 51.2 (11.8)","RR: n=30,
PP: n=8,
SP: n=7",EDSS: 3.6 (1.8),"Sex:
women: 17.6 (10.2), 
men: 18.4 (13.4)",not reported,not reported,"healthy 
n=41 (51% female)
age: women: 46.7 (14.6), men: 49.6 (14.4)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Twose J., Licitra G., McConchie H., Lam K.H., Killestein J.",2020,"Twose et al, 2020",Early-warning signals for disease activity in patients diagnosed with multiple sclerosis based on keystroke dynamics,10.1063/5.0022031,34 (not reported),range: 18-65 [inclusion criteria],not reported,inclusion criteria: EDSS<7.5,not reported,not reported,not reported,"healthy 
n=24 (female ratio not reported)
age: not reported","Smartphone
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",real-life setting,12 months,yes,yes,no,no,yes,yes,yes,no,yes,smartphone/touchscreen,NA
"Pratap A., Grant D., Vegesna A., Tummalacherla M., Cohan S., Deshpande C., Mangravite L., Omberg L.",2020,"Pratap et al, 2020","Evaluating the Utility of Smartphone-Based Sensor Assessments in Persons With Multiple Sclerosis in the Real-World Using an App (elevateMS): Observational, Prospective Pilot Digital Health Study",10.2196/22108,495 (46.9),"MS diagnosis:
self-referred: 45.2 (11.6),
clinic-referred: 48.93 (11.20)","RR: n=423,
PP: n=40,
SP: n=30,
not reported: n=2","PDDS:
normal: n=153,
mild disability: n=109,
moderate disability: n=142,
gait disability: n=2","MS diagnosis:
self-referred: 11.14 (8.84),
clinic-referred: 14.29 (8.89)","infusion disease-modifying therapy: n=170,
injection disease-modifying therapy: n=107,
oral disease-modifying therapy: n=154,
none disease-modifying therapy: n=52,
missing data about disease-modifying therapy: n=2",not reported,"healthy 
n=134 (64% female)
age: 39.3 (11.4)","BYOD (smartphone)
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Primary position: hand",real-life setting,12 weeks,applies partially,yes,yes,yes,applies partially,applies partially,yes,yes,yes,"accelerometer, gyroscope, touchscreen",3
"Nasseri N.N., Ghezelbash E., Zhai Y., Patra S., Riemann-Lorenz K., Heesen C., Rahn A.C., Stellmann J.-P.",2020,"Nasseri et al, 2020",Feasibility of a smartphone app to enhance physical activity in progressive MS: A pilot randomized controlled pilot trial over three months,10.7717/PEERJ.9303,18 (50.0),49.6 (8.5),chronic progressive: n=18,"EDSS: 3.5 (median), range: 2.5-6.0",13.1 (5.6),not reported,not reported,"MS patients
n=20 (64% female)
age: 52.5 (7.3)
Type: chronic progressive: n=20
Severity: EDSS: 3.5 [3.0-6.0]
Disease duration [yrs]: 20.1 (13.0)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,yes,no,yes,applies partially,no,yes,accelerometer,3
"Bourke A.K., Scotland A., Lipsmeier F., Gossens C., Lindemann M.",2020,"Bourke et al, 2020",Gait Characteristics Harvested During a Smartphone-Based Self-Administered 2-Minute Walk Test in People with Multiple Sclerosis: Test-Retest Reliability and Minimum Detectable Change,10.3390/S20205906,76 (69.7),39.5 (7.9),"RR: n=69,
PP: n=3,
SP: n=4",EDSS: 2.4 (1.4),11.3 (7.0),not reported,not reported,"healthy 
n=25 (28% female)
age: 34.9 (9.3)","Samsung Galaxy S7 smartphone
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,24 weeks,yes,yes,yes,yes,yes,applies partially,yes,no,yes,"accelerometer, gyroscope",3
"Cofré Lizama L.E., Bruijn S.M., Galea M.P.",2020,"Cofr� et al, 2020",Gait stability at early stages of multiple sclerosis using different data sources,10.1016/J.GAITPOST.2020.02.006,30 (83.3),42.5 (9.2),RR: n=30,"EDSS: 1.2 (0.9), range: 0-2.5",<15,not reported,not reported,"healthy 
n=15 (60% female)
age: 36.8 (7.0)","Cometa accelerometer
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Ibrahim A.A., Küderle A., Gaßner H., Klucken J., Eskofier B.M., Kluge F.",2020,"Ibrahim et al, 2020",Inertial sensor-based gait parameters reflect patient-reported fatigue in multiple sclerosis,10.1186/S12984-020-00798-9,49 (65.3),41.6 (10.4),not reported,"EDSS: 3.7 (median), range: 1-6.5",not reported,not reported,not reported,none,"Shimmer IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: foot",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,applies partially,no,yes,"accelerometer, gyroscope",3
"Neal W.N., Cederberg K.L., Jeng B., Sasaki J.E., Motl R.W.",2020,"Neal et al, 2020",Is Symptomatic Fatigue Associated With Physical Activity and Sedentary Behaviors Among Persons With Multiple Sclerosis?,10.1177/1545968320916159,174 (81.0),58.7 (10.4),"RR: n=115, 
P: n=59",PDDS: 4.0 [2.0],20.1 (10.2),not reported,not reported,"MS patients (non-fatigued FSS < 4)
n=78 (96% female)
age: 60.6 (8.9)
Type: RR: n=57, P: n=21
Severity: PDDS: 1.0 [0.0-4.0]
Disease duration [yrs]: 20.7 (8.5)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,applies partially,no,yes,accelerometer,3
"Shah V.V., McNames J., Mancini M., Carlson-Kuhta P., Spain R.I., Nutt J.G., El-Gohary M., Curtze C., Horak F.B.",2020,"Shah et al, 2020","Laboratory versus daily life gait characteristics in patients with multiple sclerosis, Parkinson’s disease, and matched controls",10.1186/S12984-020-00781-4,15 (not reported),49 (10),RR: n=15,inclusion criteria: EDSS <6.0,not reported,not reported,not reported,"healthy 
n=16 (female ratio not reported)
age: 45 (11)","Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, foot",both,7 days,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,"accelerometer, gyroscope, magnetometer",3
"Tulipani L.J., Meyer B., Larie D., Solomon A.J., McGinnis R.S.",2020,"Tulipani et al, 2020",Metrics extracted from a single wearable sensor during sit-stand transitions relate to mobility impairment and fall risk in people with multiple sclerosis,10.1016/J.GAITPOST.2020.06.014,21 (not reported),55.3 (8.6),not reported,EDSS: 3.4 (1.2),not reported,not reported,not reported,"MS patients (non-fallers)
n=17 (female ratio not reported)
age: 4.8 (13.5)
Type: not reported
Severity: EDSS: 2.3 (1.2)
Disease duration [yrs]: not reported","Biostamp MC10
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: sternum, upper leg",lab setting (controlled),not reported,yes,yes,applies partially,applies partially,yes,applies partially,applies partially,yes,applies partially,accelerometer,3
"Maillart E., Labauge P., Cohen M., Maarouf A., Vukusic S., Donzé C., Gallien P., De Sèze J., Bourre B., Moreau T., Louapre C., Mayran P., Bieuvelet S., Vallée M., Bertillot F., Klaeylé L., Argoud A.-L., Zinaï S., Tourbah A.",2020,"Maillart et al, 2020","MSCopilot, a new multiple sclerosis self-assessment digital solution: results of a comparative study versus standard tests",10.1111/ENE.14091,116 (61.2),46 (10),"RR: n=86, 
progressive: n=29",EDSS: 3.6 (1.6),12 (7),not reported,not reported,"healthy 
n=69 (65% female)
age: 39 (11)","Smartphone
Type of sensor: accelerometer, touchscreen
Number of axes: 3
Number of wearables: 1
Primary position: hand",lab setting (controlled),not reported,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,"accelerometer, touchscreen",3
"Akhbardeh A., Arjona J.K., Krysko K.M., Nourbakhsh B., Gourraud P.A., Graves J.S.",2020,"Akhbardeh et al, 2020",Novel MS vital sign: multi-sensor captures upper and lower limb dysfunction,10.1002/ACN3.50988,117 (75.2),47 (12.4),not reported,"EDSS: 2.5 (median), range: 1-7","10 (median), range: 0.4-44",not reported,not reported,"healthy 
n=30 (50% female)
age: 39.7 (10.7)","MYO-band
Type of sensor: accelerometer, gyroscope, sEMG
Number of axes: 3
Number of wearables: 1
Primary position: lower arm, lower leg",lab setting (controlled),5 min,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,"accelerometer, gyroscope, others",3
"Felix F., Heiko G., Julius H., De-Hyung L., Peter F., Jürgen W., Bjoern E., Linker R.A., Jochen K.",2020,"Felix et al, 2020",Objective sensor-based gait measures reflect motor impairment in multiple sclerosis patients: Reliability and clinical validation of a wearable sensor device,10.1016/J.MSARD.2019.101903,102 (67.6),43.0 (11.6),"RR: n=68, 
PP: n=12,
SP: n=22","EDSS: 4.0 (median), range: 1.0-7.0",10.1 (10.5),not reported,not reported,"healthy 
n=22 (46% female)
age: 34.2 (15.5)","Shimmer IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: foot",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,applies partially,no,yes,"accelerometer, gyroscope",3
"Vienne-Jumeau A., Oudre L., Moreau A., Quijoux F., Edmond S., Dandrieux M., Legendre E., Vidal P.P., Ricard D.",2020,"Vienne-Jumeau et al, 2020",Personalized Template-Based Step Detection From Inertial Measurement Units Signals in Multiple Sclerosis,10.3389/FNEUR.2020.00261,22 (59.1),"walking aid:
yes: 57 (9),
no: 59 (13)",P: n=22,"EDSS: 
walking aid: 6.0 [6.0-6.5],
no aid: 3.5 [3.0-6.0]",not reported,not reported,not reported,"healthy 
n=10 (60% female)
age: 26 (1)","XSens IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: foot",lab setting (controlled),6 months,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Hibner B.A., Hilgenkamp T.I.M., Schroeder E.C., Motl R.W., Bollaert R.E., Griffith G., Grigoriadis G., Baynard T., Fernhall B.",2020,"Hibner et al, 2020",Physical activity and peak oxygen consumption are associated with walking in multiple sclerosis,10.1016/J.MSARD.2020.101941,50 (76.0),46 (12),RR: n=50,EDSS: 3.3 [2.5-4],not reported,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,accelerometer,1
"Stuart C.M., Varatharaj A., Domjan J., Philip S., Galea I., Adams E., Ali R., Cader S., Chartres S., Cornick F., Darekar A., Fenn M., Furby J., Guillochon R., Halfpenny C., Hillier C., Hyde R., Jacob C., Jarman E., Nabag M., O’Neill A., Perry V.H., Sayce C., Spanoulis A., Temple-Brown C., Zotova E.",2020,"Stuart et al, 2020",Physical activity monitoring to assess disability progression in multiple sclerosis,10.1177/2055217320975185,56 (53.6),53.6 (8.0),"PP: n=32,
SP: n=24",EDSS: 5.7 (1.3),12.2 (8.6),untreated,not reported,none,"SenseWear Armband
Type of sensor: accelerometer, thermometer, galvanic skin response
Number of axes: 3
Number of wearables: 1
Primary position: upper arm",real-life setting,4 weeks,yes,yes,yes,yes,yes,yes,applies partially,no,yes,"accelerometer, others",3
K. Daunoraviciene,2020,"Daunoraviciene et al, 2020",Quantitative body symmetry assessment during neurological examination,10.3233/THC-208003,28 (57.1),38 (11.9),not reported,EDSS: range: 2.0-6.5,not reported,not reported,not reported,"healthy 
n=23 (70% female)
age: 29.1 (4.6)","Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Primary position: upper arm, lower arm, hand, upper leg, lower leg, foot",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,yes,applies partially,no,no,"accelerometer, gyroscope, magnetometer",3
V.V. Shah,2020,"Shah et al, 2020","Quantity and quality of gait and turning in people with multiple sclerosis, Parkinson’s disease and matched controls during daily living",10.1007/S00415-020-09696-5,13 (not reported),48.69 (11.10),not reported,PREDSS: range: 3.5=6.0,not reported,not reported,not reported,"healthy 
n=21 (female not reported)
age: 46.4 (11.1)","Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, foot",real-life setting,7 days,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,"accelerometer, gyroscope, magnetometer",3
"Sato S., Lim J., Miehm J.D., Buonaccorsi J., Rajala C., Khalighinejad F., Ionete C., Kent J.A., van Emmerik R.E.A.",2020,"Sato et al, 2020",Rapid foot-tapping but not hand-tapping ability is different between relapsing-remitting and progressive multiple sclerosis,10.1016/J.MSARD.2020.102031,29 (89.7),52.03 (9.94),RR: n=29,EDSS: 3.26 (2.19),12.75 (8.73),not reported,not reported,"MS patients (PMS)
n=29 (66% female)
age: 60.38 (8.3)
Type: P: n=29
Severity: EDSS: 6.0 (1.7)
Disease duration [yrs]: 21.85 (12.35)","Opal IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: hand, foot",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Lam K.H., Meijer K.A., Loonstra F.C., Coerver E., Twose J., Redeman E., Moraal B., Barkhof F., de Groot V., Uitdehaag B., Killestein J.",2020,"Lam et al, 2020",Real-world keystroke dynamics are a potentially valid biomarker for clinical disability in multiple sclerosis,10.1177/1352458520968797,85 (75.3),46.4 (10.1),"RR: n=51,
PP: n=9,
SP: n=25",EDSS: 3.5 [2.5-4.0],11.3 [ 5.1-17.7],not reported,not reported,"healthy 
n=18 (56% female)
age: 45.2 (13.5)","BYOD (smartphone)
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",real-life setting,2 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,smartphone/touchscreen,NA
"Brull A., Zubizarreta A., Cabanes I., Rodriguez-Larrad A.",2020,"Brull et al, 2020",Sensorized Tip for Monitoring People with Multiple Sclerosis that Require Assistive Devices for Walking,10.3390/S20154329,3 (not reported),not reported,not reported,"EDS: 6.5 (median), range: 4.5-7.5",not reported,not reported,not reported,none,"XSens IMU, C9C force sensor, BMP280 barometer
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: tip of cane or crutch (others)",lab setting (controlled),not reported,yes,applies partially,no,applies partially,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Ader L.G.M., Greene B.R., McManus K., Tubridy N., Caulfield B.",2020,"Ader et al, 2020",Short bouts of gait data and body-worn inertial sensors can provide reliable measures of spatiotemporal gait parameters from bilateral gait data for persons with multiple sclerosis,10.3390/BIOS10090128,37 (62.2),45.1 (9.9),RR: n=37,"EDSS: 1.0 (median), range: 0-4.5",7.4 (7.7),not reported,not reported,none,"Kinesis Gait IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: lower leg",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
