Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Madeline Weikert, Deirdre Dlugonski, Yoojin Suh, Bo Fernhall, Robert W Motl",2011,"Weikert et al, 2011",The impact of gait disability on the calibration of accelerometer output in adults with multiple sclerosis.,10.7224/1537-2073-13.4.170,24,20,42.0 (11.7),42,RR: n=24,"PDDS: 1 (median), range: 0-4, 
MSWS-12 without gait disability: 10.5 (11.1),
MSWS-12 with gait disability: 37.8 (11.7)",11.1 (8.5),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Cosmed K4b2
Type of sensor: others (VO2)
Number of wearables: 1
Position: others (head)",laboratory,not reported,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Schmidt A.L., Pennypacker M.L., Thrush A.H., Leiper C.I., Craik R.L.",2011,"Schmidt et al, 2011",Validity of the stepwatch step activity monitor: Preliminary findings for use in persons with parkinson disease and multiple sclerosis,10.1519/JPT.0B013E31820AA921,9,9,55.9 (5.6),55.9,not reported: n=9,"EDSS: 5.2 (mean), 95% CI: 3.9-6.6",not reported,number of medications : 5.6 (mean),not reported,other disease(s),"PD patients
n=11 (36% female)
age: 66.8 (mean)
Severity: 
-Modified Hoehn and Yahr Staging: mean 2.9, 95% CI 2.1-3.7","StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: ankle",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,applies partially,no,yes,Lab: Physical activity,,,,no,,no,,no,,no,,yes,significance not tested,no,,no,,no,,no,,
"Yu F., Bilberg A., Stenager E., Rabotti C., Zhang B., Mischi M.",2012,"Yu et al, 2012",A wireless body measurement system to study fatigue in multiple sclerosis,10.1088/0967-3334/33/12/2033,17,not reported,range: 20-65 [inclusion criteria],NA,not reported: n=17,inclusion criteria: EDSS<5.5,not reported,not reported,"inclusion criteria: no known cardiovascular disorders, pulmonary disorders, blood disorders, infections or other disorders except for MS;
exclusion criteria: patients who suffered from depression, severe pain, taking medication that may induce fatigue or being severely cognitively handicapped",healthy,"healthy
n=9 (sex-matched to MS patients)
age: not reported","FAMOS prototype
Type of sensor: accelerometer, others (ECG, sEMG, temperature)
Number of axes: 1
Number of wearables: 8
Position: upper back, upper leg, lower leg, ankle",real-world,24 hours,,yes,yes,no,no,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Sandroff B.M., Motl R.W., Suh Y.",2012,"Sandroff et al, 2012",Accelerometer output and its association with energy expenditure in persons with multiple sclerosis,10.1682/JRRD.2011.03.0063,43,38,47.2 (9.1),47.2,"RR: n=39,
PP: n=2, 
SP: n=2","PDDS: 1 (median), range: 0-5,
MSWS-12: 18.6 (16.5)",10.8 (7.7),not reported,not reported,healthy,"healthy
n=43 (88% female)
age: 46.5 (10.0)","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

ActiGraph GTX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,yes,significance not tested,yes,some significant,no,,no,,no,,no,,no,,no,,
"Weikert M., Suh Y., Lane A., Sandroff B., Dlugonski D., Fernhall B., Motl R.W.",2012,"Weikert et al, 2012","Accelerometry is associated with walking mobility, not physical activity, in persons with multiple sclerosis",10.1016/J.MEDENGPHY.2011.09.005,33,27,47.5 (10.6),47.5,"RR: n=28,
not reported: n=5","PDDS: 2 (median), range: 0-6",9.2 (6.7),not reported,not reported,healthy,"healthy
n=33 (82% female)
age: 47.7 (11.3)","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,yes,significance not tested,no,,no,,no,,no,,no,,no,,
"Motl R.W., Weikert M., Suh Y., Sosnoff J.J., Pula J., Soaz C., Schimpl M., Lederer C., Daumer M.",2012,"Motl et al, 2012",Accuracy of the actibelt(®) accelerometer for measuring walking speed in a controlled environment among persons with multiple sclerosis,10.1016/J.GAITPOST.2011.09.005,51,43,53.1 (11.3),53.1,"RR: n=45,
not reported: n=6","EDSS: 4.0 (median), range: 2.0-6.5",13.4 (9.4),patients on a disease-modifying treatment: n=44 (86%),not reported,none,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",laboratory,6 minutes,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Spain R.I., St. George R.J., Salarian A., Mancini M., Wagner J.M., Horak F.B., Bourdette D.",2012,"Spain et al, 2012",Body-worn motion sensors detect balance and gait deficits in people with multiple sclerosis who have normal walking speed,10.1016/J.GAITPOST.2011.11.026,31,19,"39.8 (mean), range: 24-67 ",39.8,"RR: n=28,
CIS: n=3","EDSS: 3.0 (median), range: 0-5.0","6.8 (median), range: 0.2-33",not reported,exclusion criteria: arthritis,healthy,"healthy
n=28 (67% female)
age: 37.4 (mean)","Xsens
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, ankle",laboratory,not reported,,yes,yes,yes,yes,yes,no,yes,no,no,Lab: Physical activity,,,,no,,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Coote S., O'Dwyer C.",2012,"Coote et al, 2012",Comparative validity of accelerometer-based measures of physical activity for people with multiple sclerosis,10.1016/J.APMR.2012.05.010,30,21,"Group MS-A: 50.6 (mean), 95% CI: 46.5-54.8,
Group MS-B: 56.1 (mean), 95% CI: 49.0-63.2",52.6,"RR: n=9,
PP: n=1,
SP: n=15,
benign: n=5","GNDS total score
Group MS-A: 10.11 (5.87),
Group MS-B: 11.18 (3.74)","2 MS groups:
Group MS-A: 10.16 (8.07),
Group MS-B: 15.36 (9.11)",not reported,not reported,healthy,"healthy
n=15 (73% female)
age: 46.1 (mean)","SenseWear Armband
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: upper arm

activPal
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: upper leg

Oxycon Mobile
Type of sensor: others (VO2)
Number of wearables: 1
Position: others (head)",laboratory,85 minutes,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Sosnoff J.J., Socie M.J., Boes M.K., Sandroff B.M., Motl R.W.",2012,"Sosnoff et al, 2012",Does a waist-worn ActiGraph accelerometer quantify community ambulation in persons with multiple sclerosis?,10.1682/JRRD.2011.11.0218,22,17,"46.9 (11.7), range 23-64",46.9,not reported: n=22,EDSS: 3.0 [2.5] range: 1-6,"11.0 (6.9), range: 1-23",not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist

IDEEA system
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 5
Position: sternum, waist, upper leg, foot",real-world,1 day,,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Sosnoff J.J., Sandroff B.M., Pula J.H., Morrison S.M., Motl R.W.",2012,"Sosnoff et al, 2012",Falls and physical activity in persons with multiple sclerosis,10.1155/2012/315620,37,28,53.4 (10.0),53.4,not reported: n=37,EDSS: 5.0 [4],14.6 (10.6),not reported,not reported,MS patients,"MS patients (non-fallers)
n=38 (82% female)
age: 50.1 (13.9)
Severity: EDSS: 3.0 [2.0]
Disease duration: 11.0 (9.6)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,1 day,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,non-significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Sandroff B.M., Dlugonski D., Weikert M., Suh Y., Balantrapu S., Motl R.W.",2012,"Sandroff et al, 2012",Physical activity and multiple sclerosis: New insights regarding inactivity,10.1111/J.1600-0404.2011.01634.X,77,66,47.3 (9.7)	,47.3,"RR: n=66,
not reported: n=11 ","PDSS: 1 (median), range: 0-6",10.1 (7.3),not reported,not reported,healthy,"healthy
n=66 (85% female)
age: 47.0 (10.5) ","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Dlugonski D.",2012,"Motl et al, 2012",Reactivity in baseline accelerometer data from a physical activity behavioral intervention,10.1037/A0025965,18,15,45.4 (11.2),45.4,RR: n=18,not reported,7.7 (5.5),not reported,"exclusion criteria: contre-indications for physical activity (e.g., cardiovascular disease)",MS patients,"MS patients
n=20 (80% female)
age: 48.3 (9.8)
Type: RR: n=18, not reported: n=2 
Severity of MS: not reported
Disease duration: 9.9 (8.9)","Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: waist

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Omron HJ-720ITC
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,no,,yes,significant,no,,
"Ranadive S.M., Yan H., Weikert M., Lane A.D., Linden M.A., Baynard T., Motl R.W., Fernhall B.",2012,"Ranadive et al, 2012",Vascular dysfunction and physical activity in multiple sclerosis,10.1249/MSS.0B013E31822D7997,33,27,47.0 (1.83),47,"RR: n=29,
PP: n=1,
SP: n=3","PDSS: 2 (median), range: 0-6",9.2 (6.7),"subjects taking disease-modifying medications: n=25:
interferon beta-1a: n=7,
Interferon beta-1b: n=7,
natalizumab: n=4,
glatirameracetat: n=7,

subjects taking antispasticity medications: n=10,
subjects taking fatigue medications: n=7",not reported,healthy,"healthy
n=33 (82% female)
age: 47.0 (1.97) ","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Pilutti L.A., Dlugonski D., Pula J.H., Motl R.W.",2012,"Pilutti et al, 2012",Weight status in persons with multiple sclerosis: Implications for mobility outcomes,10.1155/2012/868256,168,42,48.5 (11.6),48.5,"RR: n=134,
PP: n=11,
SP: n=19,
not reported: n=4",PDDS: 3.0 [3.0],13.8 (9.6),not reported,not reported,none,"MS patients
Overweight: n=61 (77% female), age: 51.5 (9.5), Type: RR: n=45, SP: 7, PP: 4, not reported: n=2, severity: PDDS: 3.0 [3.0]; Disease duration: 10.9 (7.8);
Obese: n=55 (43% female), age: 52.5 (10.6), Type: RR: n=46, SP: 4, PP: 4, not reported: n=1, severity: PDDS: 3.0 [3.0]; Disease duration: 11.2 (10.3)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,,yes,yes,yes,yes,applies partially,applies partially,no,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,no,,no,,yes,non-significant,no,,no,,no,,no,,no,,
"Motl R.W., Pilutti L., Sandroff B.M., Dlugonski D., Sosnoff J.J., Pula J.H.",2013,"Motl et al, 2013",Accelerometry as a measure of walking behavior in multiple sclerosis,10.1111/ANE.12036,256,208,49.5 (10.2),49.5,"RR: n=215,
PP: n=13,
SP: n=24, 
not reported: n=4","EDSS: 4.0 [3.5], range: 0-6.5",11.3 (8.7),not reported,exclusion criteria: presence of any risk factors for undertaking excercise taking,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Huisinga J.M., Mancini M., St. George R.J., Horak F.B.",2013,"Huisinga et al, 2013",Accelerometry reveals differences in gait variability between patients with multiple sclerosis and healthy controls,10.1007/S10439-012-0697-Y,15,11,43.75 (11.9),43.75,not reported: n=15,EDSS: 4.21 [1.0],not reported,not reported,"exclusion criteria: any other problems which may affect gait such as vestibular issues, orthopaedic problems, and diabetic neuropathy",healthy,"healthy
n=15 (80% female)
age: 42.2 (10.3)","Xsens MTx
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, lower leg",laboratory,30s,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,yes,significant,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Motl R.W., Pilutti L.A., Learmonth Y.C., Goldman M.D., Brown T.",2013,"Motl et al, 2013",Clinical Importance of Steps Taken per Day among Persons with Multiple Sclerosis,10.1371/JOURNAL.PONE.0073247,786,667,47.3 (10.5),47.3,"RR: n=705;
not reported: n=81",PDDS: 2.0 [2.0],9.9 (8.0),not reported,not reported,healthy,"healthy
n=157 (91% female)
age: 43.4 (9.8)","Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: not reported

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Sandroff B.M., Motl R.W.",2013,"Sandroff et al, 2013",Comparison of ActiGraph activity monitors in persons with multiple sclerosis and controls.,10.3109/09638288.2012.707745,41,36,47.4 (8.8),47.4,"RR: n=37, 
not reported: n=4","PDDS: 1.0 (median), range: 0-4",11.0 (7.9),not reported,exclusion criteria: presence of any risk factors for undertaking excercise taking,healthy,"healthy
n=41 (88% female)
age: 47.2 (9.1)","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

ActiGraph GTX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,
"Filipović Grčić P., Matijaca M., Bilić I., Džamonja G., Lušić I., Čaljkušić K., Čapkun V.",2013,"Grčić et al, 2013",Correlation analysis of visual analogue scale and measures of walking ability in multiple sclerosis patients,10.1007/S13760-013-0187-5,82,61,37.8 (9.9),37.8,not reported: n=82,"EDSS: 2.5 (median), range: 0-6.5",9.0 (6.3),not reported,"exclusion criteria: presence of a risk factor for strenuous physical activity (cardiovascular disease, hypertension), vision impairment, and orthopedic disease",none,none,"StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: ankle",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Hilfiker R., Vaney C., Gattlen B., Meichtry A., Deriaz O., Lugon-Moulin V., Anchisi-Bellwald A.M., Palaci C., Foinant D., Terrier P.",2013,"Hilfiker et al, 2013",Local dynamic stability as a responsive index for the evaluation of rehabilitation effect on fall risk in patients with multiple sclerosis: a longitudinal study.,10.1186/1756-0500-6-260,18,12,"54 (11), range: 37-72",54,not reported: n=18,"EDSS: 5.11 (1.27), range: 3-6.5",not reported,not reported,not reported,none,none,"Dynaport
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,3 minutes,http://www.controlled-trials.com/ISRCTN69803702,yes,yes,yes,applies partially,yes,yes,yes,no,yes,Lab: Physical activity,,,,no,,no,,no,,no,,no,,no,,no,,yes,significant,no,,
"Motl R.W., McAuley E., Sandroff B.M.",2013,"Motl et al, 2013",Longitudinal change in physical activity and its correlates in relapsing-remitting multiple sclerosis.,10.2522/PTJ.20120479,269,223,45.9 (9.6),45.9,RR: n=269,PDDS: 2 [3],8.8 (7.0),"subjects taking disease-modifying therapy: n=223,
interferon beta-1a: n=112,
glatiramer acetate: n=69,
interferon beta-1b: n=29",not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,yes,significant,no,,no,,
"Lamers I., Kerkhofs L., Raats J., Kos D., Van Wijmeersch B., Feys P.",2013,"Lamers et al, 2013",Perceived and actual arm performance in multiple sclerosis: Relationship with clinical tests according to hand dominance,10.1177/1352458513475832,30,15,58.2 (10.9),58.2,"PP: n=5, 
SP: n=25","EDSS: 7.5 (median), range: 7.0-8.0",21.8 (11),not reported,Bring,healthy,"healthy
n=30 (33% female)
age: 57.9 (10.9)","Motionlogger
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: wrist",mixed,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Sandroff B.M., Pilutti L.A., Dlugonski D., Motl R.W.",2013,"Sandroff et al, 2013",Physical activity and information processing speed in persons with multiple sclerosis: A prospective study,10.1016/J.MHPA.2013.08.001,82,62,49.0 (9.1),49,"RR: n=65,
PP: n=3,
SP: n=10,
not reported: n=4","SR-EDSS: 3.5 (median), range: 0-6.5",11.8 (8.2),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,applies partially,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
