,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Woelfle,K. Daunoraviciene,2020,"Daunoraviciene et al, 2020",Biomechanical markers of impaired motor coordination,10.1109/MSM49833.2020.9201642,English,,,31,31 (61.3),61.29032258,19,19,"sex:
women: 40 (12.3)
men: 34.4 (11.3)",not reported: n=31,31,"EDSS: 3.71 (1.43), range: 2.0-6.0",not reported,not reported,not reported,healthy,"healthy 
n=23 (74% female)
age: women: 28 (4.0), men: 31.14 (5.7)",healthy,23,17,73.91304348,"women: 28 (4.0),
men: 31.14 (5.7)",-,-,-,-,-,"Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: upper leg, lower leg, foot","accelerometer, gyroscope, magnetometer",IMU,"Shimmer Research, Dublin, Ireland",3?,Matlab,256,6,multiple positions,"(i) thighs,
(ii) shins, 
(iii) feet","6: 2 upper leg, 2 lower leg, 2 foot",in clinic,laboratory,0,NA,NA,NA,NA,yes,-,no,-,not reported,1,"biomechanical markers of heel-to-shin test (HST) (motion time, range of motion (ROM), ...)",-,CV,-,-,heel-to-shin test (HST),The results of this study indicate biomechanical parameters of impaired motor coordination in MS individuals.,small sample size and limited heterogeneity,-,"Also performed FNT, NHP, T25FW and heel to to toe walking - other papers?, MS-ATAX-2015-00)",yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,Lab: Dexterity/Tremor,,,,,,no,,no,,,yes,mixed,yes,mixed,no,,,no,,no,,no,,no,
Woelfle,K.K.V. Mate,2020,"Mate et al, 2020",Clinically assessed walking capacity versus real-world walking performance in people with multiple sclerosis,10.7224/1537-2073.2019-047,English,,,125,125 (78.4),78.4,98,98,45.4 (10.0),not reported: n=125,125,not reported,6.1 (3.4),not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"activPAL3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",accelerometer,accelerometer,"activPAL3, PAL Technologies Ltd, Glasgow, Scotland",3?,NA,20,1,upper leg,"thigh, right side",1 (upper leg),at home,real-world,0,NA,NA,NA,NA,no,Ecological validity: Real-World Walking Performance,yes,1 week,7 days,1,Mean total number of steps,-,-,quantile regression coefficients,-,6MWT,Study participants with MS spent a small proportion of time walking at a health-promoting intensity.,"exercise trial, limited generalizability",NCT01611987,NCT from published protocol (doi:10.1186/1471-2377-13-69),yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,yes,significance not tested,6MWT,no,,no,,no,,,no,,no,,no,,no,
Woelfle,"Næss-Schmidt E., Pedersen A., Christiansen D., Andersen N.-B., Brincks J., Grimm B., Nielsen J., Mechlenburg I.",2020,"Naess-Schmidt et al, 2020",Daily activity and functional performance in people with chronic disease: A cross-sectional study,10.1080/2331205X.2020.1713280,English,,,28,28 (78.6),78.57142857,22,22,56.3 (8.8),not reported: n=28,28,not reported,12.4 (7.4)	,not reported,not reported,"mixed 
(stroke/PD/RA)","mixed 
stroke: n=22 (55%, female), age: 65.1 (10.8);
PD: n=34 (29% female), age:  67.9 (7.8);
RA: n=15 (100% female), age: 57.3 (17.0)",stroke / Parkinson / rheumatoid arthritis,"Stroke: n=22,
PD: n=34,
RA: n=15","Stroke: n=12,
PD: n=10,
RA: n=15",#VALUE!,"stroke: 65.1 (10.8),
PD: 67.9 (7.8),
RA: 57.3 (17.0)",-,-,-,-,-,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",accelerometer,accelerometer,"AX3, Axivity Ltd., Newcastle, UK",3,"(i) Stata,
(ii) Matlab",100,1,upper leg,lateral thigh,1 (upper leg),at home,real-world,0,NA,NA,NA,NA,yes,-,-,7 days,7 days,1,describe physical activity profiles,-,-,"R2, mean, sd, RMS",-,"SSST, TUG","In this study, we provided a physical activity profile of four different patient cohorts with stroke, Parkinson’s disease, multiple sclerosis and rheumatoid arthritis. The activity profiles showed large variance in activity parameters of daily steps, inclined walking steps, sit-stand transfers and walking cadence within patient groups. The association of the physical activity parameters to SSST and TUG was modest and therefore physical activity could only to some extent be explained by the SSST and TUG test.","We acknowledge certain limitations in our study. First, the sample size was 99 patients divided into four groups with 15–34 patients in each group which may limit the generalization of the physical activity profile and performance-based function to the general populations of the four groups. Second, since this is a cross-sectional study, we cannot comment on causality, but only on the associations between accelerometer-based physical activity and performance-based function, e.g., we can not conclude that patients with high performance-based function are more physically active. Third, due to the method of recruitment, it is possible that the patients who accepted the study invitation were a selected group of highly motivated people and thus might have a different activity behaviour compared to most people with these four chronic diseases. However, in regard to previous findings in patients with multiple sclerosis, the opposite was found in our population in regard to, e.g., fewer steps taken. Hence, we have to be cautious to generalise the results to all people with either stroke, Parkinson’s disease, multiple sclerosis or rheumatoid arthritis.",-,-,applies partially,yes,yes,no,yes,applies partially,applies partially,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"TUG, six-spot step test (SSST)",no,,no,,yes,significance not tested,"stroke, Parkinson's, rheumatoid arthritis",no,,no,,no,,no,
Woelfle,"Sandroff B.M., Motl R.W.",2020,"Sandroff et al, 2020",Device-Measured Physical Activity and Cognitive Processing Speed Impairment in a Large Sample of Persons with Multiple Sclerosis,10.1017/S1355617720000284,English,,,385,385 (78.2),78.18181818,301,301,49.9 (11.6),"RR: n=299, 
P: n=45,
not reported: n=41",41,PDDS: 2.0 [4.0],12.3 ± 9.4,not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X and GT3X+),"Pensacola, FL",3,ActiLife,NA,1,waist,waist,1 (waist),at home,real-world,0,NA,NA,NA,NA,no,association of physical activity with cognitive processing speed,yes,1 week,7 days,1,"steps / day, SDMT raw score","R2=0.1882 for cognitive impaired, R2=0.057 for no cognitive impairment",-,-,-,SDMT,"novel evidence of a statistically significant association between device-measured PA behavior and cognitive processing speed, independent of age and disability status, particularly among persons with MS who demonstrate objective impairment in cognitive processing speed impairment","cross-sectional association, no causation",-,"Re-use: ""The present study involved a secondary analysis of data from five studies on physical and cognitive functioning among persons with MS; this presented several issues.""",yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,yes,significant,SDMT,no,,no,,no,,,no,,no,,no,,no,
Woelfle,"Cohen M., Mondot L., Fakir S., Landes C., Lebrun C.",2020,"Cohen et al, 2020",Digital biomarkers can highlight subtle clinical differences in radiologically isolated syndrome compared to healthy controls,10.1007/S00415-020-10276-W,English,,,21,21 (66.7),66.66666667,14,14,"44 (mean), range: 25-66",radiologically isolated syndrome: n=21,,not reported,not reported,not reported,not reported,healthy,"healthy 
n=32 (72% female)
age: 42.4 (mean), range: 20-58",healthy,32,23,71.875,"42.4 (mean), range: 20-58",-,-,-,-,-,"iPhone X (smartphone)
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",touchscreen,smartphone,iPhone X,NA,SPSS,NA,1,hand,hand,1 (hand),in clinic,laboratory,0,NA,NA,NA,NA,yes,-,no,-,not reported,1,"mean finger tapping speed, time to target (agility test), inter hand interval (hand synchronization test), number of good answers (low contrast vision test), mean answer latency (cognition test)","MRI GMV with low contrast vision r=0.37, not corrected for multiple testing",ICC (range 0.49-0.93),"group differences (significant for mean finger tapping speed, hand synchronization, low contrast vision and cognition)",-,"MRI (WMV, GMV)",We developed a smartphone application that allows the screening of several dimensions of the neurological exam and requires a few minutes to perform. Obtained measures appeared to be reliable and allowed to distinguish healthy controls from subjects with infraclinical inflammatory disease of the central nervous system. We plan to evaluate MSST in early MS patients to assess whether digital biomarkers can predict disease severity.,-,-,no multiple testing correction,yes,applies partially,yes,yes,yes,applies partially,applies partially,no,yes,Lab: Dexterity/Tremor,,,,,,no,,yes,mixed,"MRI grey matter volume, white matter volume",yes,significant,no,,no,,,yes,significant,no,,no,,no,
Woelfle,"Pau M., Porta M., Coghe G., Frau J., Lorefice L., Cocco E.",2020,"Pau et al, 2020",Does multiple sclerosis differently impact physical activity in women and man? A quantitative study based on wearable accelerometers,10.3390/IJERPH17238848,English,,,45,45 (51.1),51.11111111,23,23,"sex:
women: 49.4 (9.0), 
men: 51.2 (11.8)","RR: n=30,
PP: n=8,
SP: n=7",,EDSS: 3.6 (1.8),"Sex:
women: 17.6 (10.2), 
men: 18.4 (13.4)",not reported,not reported,healthy,"healthy 
n=41 (51% female)
age: women: 46.7 (14.6), men: 49.6 (14.4)",healthy,41,21,51.2195122,"women: 46.7 (14.6), 
men: 49.6 (14.4)",-,-,-,-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",accelerometer,ActiGraph accelerometer (model GT3X),"Acticorp Co., Pensacola, FL, USA",3,ActiLife,30,1,wrist,"wrist, non-dominant",1 (wrist),at home,real-world,0,NA,NA,NA,NA,no,sex differences in PA in MS,yes,1 week,7 days,1,"level of physical activity, steps count, vector magnitude counts",-,-,group differences stratified by sex,-,EDSS,"Women with MS spent more time in sedentary behavior and exhibited a reduced amount of light intensity activity with respect to men, while MVPA was similar across sexes. The findings of the present study highlight the urgency of including sex as variable in all studies on PA in pwMS.",accuracy of the GTX3 device in wrist position potentially lower than waist; mild disability patients only; women might do more light exercise without arms use,-,-,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,no,,,yes,mixed,yes,mixed,no,,,no,,no,,no,,no,
Woelfle,"Twose J., Licitra G., McConchie H., Lam K.H., Killestein J.",2020,"Twose et al, 2020",Early-warning signals for disease activity in patients diagnosed with multiple sclerosis based on keystroke dynamics,10.1063/5.0022031,English,,,34,34 (not reported),#VALUE!,not reported,not reported,range: 18-65 [inclusion criteria],not reported: n=34,34,inclusion criteria: EDSS<7.5,not reported,not reported,not reported,healthy,"healthy 
n=24 (female ratio not reported)
age: not reported",healthy,24,-,#VALUE!,-,-,-,-,-,-,"Bring-your-own-device (smartphone)
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",touchscreen,smartphone,Bring-your-own-device (bring your own device),NA,NA,NA,1,hand,hand,1 (hand),at home,real-world,0,NA,NA,NA,NA,yes,-,no,12 months,12 months,5,change in multiple keystroke dynamic features,-,-,-,-,"MRI, EDSS, 9HPT, T25FW, AMSQ, SDMT, FSS, CIS-20R), MFIS, GRC-fatigue, GRC-QoL",The application of non-linear methods to identify early-warning signals in keystroke dynamics in order to better monitor change in the course of a MS patient’s disease state is compelling despite the exploratory nature of the study.,"While interpreting the findings of this study, some limitations need to be considered. In order to better match the changes in C of the KD to the clinical outcome measures, a better approach would have been to administer the outcome measures at more regular intervals than once every three months. For the measures administered during the clinical visits (EDSS, 9HPT, T25FW, SDMT) and the MRI, this would not have been feasible. However, a higher sampling rate for the self-report measures (AMSQ, FSS, CIS-20R, MFIS, GRC-fatigue, GRC-QoL) would be possible and would allow for clearer insights into the change profiles of the clinically validated outcome measures, leading to better matching with the KD change profiles. Furthermore, due to the preliminary nature of this exploratory study, there is currently not a quantification of how well the C and the CCPs coincide with the changes in the outcome measures. Building on the current analysis, one could investigate the capabilities of both the C and the CCPs in predicting changes in the outcome measures, using time series based predictive modeling.54 The dynamics of complex systems approach to KD would also benefit from future research investigating other methods of feature selection. The current study uses RQA summary statistics; however, there are a host of NLTSA approaches that could be used to select promising keystroke features, for instance, Detrended Fluctuation Analysis.55 Moreover, more in-depth analysis into an appropriate sliding window size for the calculation of F and D of KD in MS is necessary. In this study, we chose a sliding window of 28 days due to the changes in disease activity in MS being markedly slow, while still maximizing the amount of data being shown (the larger the sliding window, the larger the lead-in of the F and D). Last, the keystroke feature selection was conducted on a group level across all the users; however, the results of this analysis would likely be improved by doing individualized feature selection specific to each user. Feature selection on an individual level would likely improve the results as each keystroke feature could hold more complex information to one user over another. For example, one user may have typing sessions that are very consistent and, therefore, have low complexity, whereas another user may usually type quickly and have short session durations apart from when they have worsening of symptoms.",https://www.trialregister.nl/trial/7070,-,yes,yes,no,no,yes,yes,yes,no,yes,RW: Dexterity/Tremor,,,,,,yes,significance not tested,yes,significance not tested,"MRI, 9HPT, T25FW, SDMT, FSS, AMSQ, CIS-20R, MFIS, GRC-fatigue, GRC-QoL",no,,no,,no,,,no,,yes,significance not tested,no,,no,
Woelfle,"Pratap A., Grant D., Vegesna A., Tummalacherla M., Cohan S., Deshpande C., Mangravite L., Omberg L.",2020,"Pratap et al, 2020","Evaluating the Utility of Smartphone-Based Sensor Assessments in Persons With Multiple Sclerosis in the Real-World Using an App (elevateMS): Observational, Prospective Pilot Digital Health Study",10.2196/22108,English,,,495,495 (46.9),46.86868687,232,232,"MS diagnosis:
self-referred: 45.2 (11.6),
clinic-referred: 48.93 (11.20)","RR: n=423,
PP: n=40,
SP: n=30,
not reported: n=2",2,"PDDS:
normal: n=153,
mild disability: n=109,
moderate disability: n=142,
gait disability: n=2","MS diagnosis:
self-referred: 11.14 (8.84),
clinic-referred: 14.29 (8.89)","infusion disease-modifying therapy: n=170,
injection disease-modifying therapy: n=107,
oral disease-modifying therapy: n=154,
none disease-modifying therapy: n=52,
missing data about disease-modifying therapy: n=2",not reported,healthy,"healthy 
n=134 (64% female)
age: 39.3 (11.4)",no MS,134,64.30%,0.4798507463,39.3 (11.4),-,-,-,-,-,"Bring-your-own-device (smartphone)
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Position: hand","accelerometer, gyroscope, touchscreen",iPhone,"Bring-your-own-device (bring your own device), Apple only",3,R,NA,1,hand,hand / pocket,1 (hand),at home,real-world,0,NA,NA,NA,NA,yes,-,no,12 weeks,12 weeks,0,"Finger-tapping, oral SDMT, walking, finger-to-nose, correlation of digital biomarkers with PROMs",-,-,-,weather,"truncated PDDS, short-form Neuro-QoL","In contrast to current, episodic disease monitoring practices, this study demonstrates the value and utility of frequently assessing the real-world, live patient experience of MS using a digital health app. By providing a more comprehensive and representative assessment of patients outside of the clinic, elevateMS and other disease-tracking apps have the potential to enhance the understanding of MS, facilitate patient–clinician communication, and support personalization of disease management plans.","Participation required iPhone, the study population may be subject to selection bia; 2/3 self reported MS; lower participation than studies with in-clinic visit; short duration",-,fully remote (no clinical visit),applies partially,yes,yes,yes,applies partially,applies partially,yes,yes,yes,RW: Gait,RW: Balance,RW: Dexterity/Tremor,,,,yes,significant,yes,significant,"short-form Neuro-QoL surveys (Cognitive Function, Upper Extremity Function, and Lower Extremity Function)",yes,significance not tested,yes,significance not tested,no,,,no,,no,,no,,no,
Woelfle,"Nasseri N.N., Ghezelbash E., Zhai Y., Patra S., Riemann-Lorenz K., Heesen C., Rahn A.C., Stellmann J.-P.",2020,"Nasseri et al, 2020",Feasibility of a smartphone app to enhance physical activity in progressive MS: A pilot randomized controlled pilot trial over three months,10.7717/PEERJ.9303,English,,,18,18 (50.0),50,9,9,49.6 (8.5),chronic progressive: n=18,,"EDSS: 3.5 (median), range: 2.5-6.0",13.1 (5.6),not reported,not reported,MS patients,"MS patients
n=20 (64% female)
age: 52.5 (7.3)
Type: chronic progressive: n=20
Severity: EDSS: 3.5 [3.0-6.0]
Disease duration [yrs]: 20.1 (13.0)",MS,20,11,55,52.5 (7.3),Chronic progressive: n=20,EDSS: 3.5 [3.0-6.0],20.1 (13.0),-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",accelerometer,Actigraph accelerometer,NA,NA,NA,NA,1,not reported,NA,1 (not reported),at home,real-world,0,NA,NA,NA,NA,yes,-,yes,1 week,7 days,1,"20% increase of physical acitivity (time of moderate or vigiorous PA—MVPA) or 20% increase of the number of steps,",-,-,-,-,-,Just providing information in a multimedia smartphone app did not enhance physical activitiy more than a simple leaflet in progressive MS. ,"Besides the lack of interactive features and a structured behavioral intervention, other aspects of our study limited the chance to detect group differences. First, by chance the randomization led to significant differences in the composition of the two groups, such as the control group had a longer disease duration and a lower self-reported activity level. Secondly, the small sample size of this pilot study was only capable of detecting large effects. ",NCT03114293,RCT of app-intervention,yes,yes,yes,yes,no,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,non-significant,no,,,no,,yes,significant,yes,non-significant,no,
Woelfle,"Bourke A.K., Scotland A., Lipsmeier F., Gossens C., Lindemann M.",2020,"Bourke et al, 2020",Gait Characteristics Harvested During a Smartphone-Based Self-Administered 2-Minute Walk Test in People with Multiple Sclerosis: Test-Retest Reliability and Minimum Detectable Change,10.3390/S20205906,English,,,76,76 (69.7),69.73684211,53,53,39.5 (7.9),"RR: n=69,
PP: n=3,
SP: n=4",,EDSS: 2.4 (1.4),11.3 (7.0),not reported,not reported,healthy,"healthy 
n=25 (28% female)
age: 34.9 (9.3)",healthy,25,7,28,34.9 (9.3),-,-,-,-,-,"Samsung Galaxy S7 (smartphone)
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: waist","accelerometer, gyroscope, magnetometer",smartphone,Samsung Galaxy S7,3,Python,100,1,waist,waist,1 (waist),at home,real-world,0,NA,NA,NA,NA,yes,-,no,24 weeks,24 weeks,3,"Test-retest reliability, standard error of measurement (SEM) and minimum detectable change (MDC)",-,"ICC, SEM, MDC",-,-,-,"These findings indicate that gait analysis performed on inertial sensor data harvested during a self-administered 2MWT using a single smartphone, attached to the front of the waist, provides both accurate and reliable measurements of selected spatial, temporal and spatiotemporal characteristics of gait in PwMS and HCs.","Future work will determine the accuracy of this algorithm using ground truth data harvested from an MS cohort. Future work will also examine the criterion validity of these gait characteristics, measured in an MS cohort, with reported outcomes from clinical observational rating scales (e.g., EDSS and MSIS-29) and timed functional assessments (e.g., T25FW). In addition, variations in inertial sensor data measured using different smartphones do exist [41], future work will employ techniques such as auto-calibration [42] to reduce the error associated with these variations.",NCT02952911,Floodlight feasibility study (re-use of participants),yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Gait,,,,,,no,,no,,,yes,significance not tested,no,,no,,,yes,mixed,no,,no,,no,
Woelfle,"Cofré Lizama L.E., Bruijn S.M., Galea M.P.",2020,"Cofré et al, 2020",Gait stability at early stages of multiple sclerosis using different data sources,10.1016/J.GAITPOST.2020.02.006,English,,,30,30 (83.3),83.33333333,25,25,42.5 (9.2),RR: n=30,,"EDSS: 1.2 (0.9), range: 0-2.5",<15,not reported,not reported,healthy,"healthy 
n=15 (60% female)
age: 36.8 (7.0)",healthy,15,9,60,36.8 (7.0),-,-,-,-,-,"Cometa accelerometer
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",accelerometer,accelerometer,"Cometa, Milano, Italy",3,Matlab,1000,1,sacrum,sacrum,1 (lower back),in clinic (treadmill),laboratory,0,NA,NA,NA,NA,yes,-,no,-,not reported,1,gait instability,local divergence exponent (LDE),-,"means, sd",-,-,PwMS with no evident gait impairments are less stable than healthy controls when walking on a treadmill. Diﬀerent data sources can be used to determine MS-related stability deterioration. The LDE can be a useful measure of gait disability progression at MS early stages.,"Although treadmill walking is the most adequate alternative for large datasets acquisition, it is also known that it may impose a less challenging condition compared to overground walking [14]. Furthermore, access to a treadmill may be limited in some clinical settings.",-,-,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,,,no,,no,,,yes,mixed,no,,no,,,no,,no,,no,,no,
