"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Associations between fatigue and physical behavior in patients with multiple sclerosis with no or minimal disability",,"Eldemir K., Guclu-Gunduz A., Ozkul C., Eldemir S., Soke F., Irkec C.","2021-05-12","2021-09-28","Fatigue: Biomedicine, Health and Behavior (2021) 9:2 (69-78). Date of Publication: 2021","Fatigue: Biomedicine, Health and Behavior","2021","9","2","69","78","2021","Article",10.1080/21641846.2021.1923995
"Transcriptomic analysis of Multiple Sclerosis patient-derived monocytes by RNA-Sequencing for candidate gene discovery",,"Almsned F., Lipsky R.H., Jafri M.S.","2021-04-16","2021-04-22","Informatics in Medicine Unlocked (2021) 23 Article Number: 100563. Date of Publication: 1 Jan 2021","Informatics in Medicine Unlocked","2021","23",,,,"1 Jan 2021","Article",10.1016/j.imu.2021.100563
"Use of a Smartphone to Gather Parkinson's Disease Neurological Vital Signs during the COVID-19 Pandemic",,"Alberts J.L., Koop M.M., McGinley M.P., Penko A.L., Fernandez H.H., Shook S., Bermel R.A., Machado A., Rosenfeldt A.B.","2021-05-28","2021-09-03","Parkinson's Disease (2021) 2021 Article Number: 5534282. Date of Publication: 2021","Parkinson's Disease","2021","2021",,,,"2021","Article",10.1155/2021/5534282
"Classification of brain tumors and auto-immune disease using ensemble learning",,"Shafi A.S.M., Rahman M.B., Anwar T., Halder R.S., Kays H.M.E.","2021-06-08","2021-09-14","Informatics in Medicine Unlocked (2021) 24 Article Number: 100608. Date of Publication: 1 Jan 2021","Informatics in Medicine Unlocked","2021","24",,,,"1 Jan 2021","Article",10.1016/j.imu.2021.100608
"Advances in the diagnosis of autoimmune diseases based on citrullinated peptides/proteins",,"Alghamdi M.F., Redwan E.M.","2021-06-15","2021-10-11","Expert Review of Molecular Diagnostics (2021) 21:7 (685-702). Date of Publication: 2021","Expert Review of Molecular Diagnostics","2021","21","7","685","702","2021","Review",10.1080/14737159.2021.1933946
"Role of real-world digital data for orthopedic implant automated surveillance: a systematic review",,"Dhalluin T., Fakhiri S., Bouzillé G., Herbert J., Rosset P., Cuggia M., Grammatico-Guillon L.","2021-07-19","2022-03-25","Expert Review of Medical Devices (2021) 18:8 (799-810). Date of Publication: 2021","Expert Review of Medical Devices","2021","18","8","799","810","2021","Review",10.1080/17434440.2021.1943361
"Speed but Not Smoothness of Gait Reacts to Rehabilitation in Multiple Sclerosis",,"Gulde P., Hermsdörfer J., Rieckmann P.","2021-06-22","2021-08-26","Multiple Sclerosis International (2021) 2021 Article Number: 5589562. Date of Publication: 2021","Multiple Sclerosis International","2021","2021",,,,"2021","Article",10.1155/2021/5589562
"A Smartphone-based Application for Self-Management in Multiple Sclerosis",,"Mokhberdezfuli M., Ayatollahi H., Naser Moghadasi A.","2021-07-06","2021-09-28","Journal of Healthcare Engineering (2021) 2021 Article Number: 6749951. Date of Publication: 2021","Journal of Healthcare Engineering","2021","2021",,,,"2021","Article",10.1155/2021/6749951
"Taopatch(®) combined with home-based training protocol to prevent sedentary lifestyle and biochemical changes in MS patients during COVID-19 pandemic",,"Amato A., Messina G., Feka K., Genua D., Ragonese P., Kostrzewa-Nowak D., Fischetti F., Iovane A., Proia P.","2021-10-07","2022-01-21","European Journal of Translational Myology (2021) 31:3 Article Number: 9877. Date of Publication: 2021","European Journal of Translational Myology","2021","31","3",,,"2021","Article",10.4081/ejtm.2021.9877
"Peroneal Electric Transcutaneous NeuroModulation (eTNM(®)): A Novel Method for the Treatment of the Overactive Bladder",,"Krhut J., Peter L., Rejchrt M., Slovak M., Skugarevska B., Zvara P.","2021-10-26","2021-11-16","Journal of Healthcare Engineering (2021) 2021 Article Number: 4016346. Date of Publication: 2021","Journal of Healthcare Engineering","2021","2021",,,,"2021","Article",10.1155/2021/4016346
"Assisting the diagnosis of multiple sclerosis using a set of regional brain volumes: A classification model for patients and healthy controls",,"Aoki S., Fujimori J., Mikami R., Hoshi K., Kawakami J., Sato K., Nakashima I.","2022-01-18","2022-04-20","Informatics in Medicine Unlocked (2021) 26 Article Number: 100766. Date of Publication: 1 Jan 2021","Informatics in Medicine Unlocked","2021","26",,,,"1 Jan 2021","Article",10.1016/j.imu.2021.100766
"The Assessment of Upper-Limb Spasticity Based on a Multi-Layer Process Using a Portable Measurement System",,"Wang C., Peng L., Hou Z.-G., Zhang P.","2021-11-17","2021-11-22","IEEE Transactions on Neural Systems and Rehabilitation Engineering (2021) 29 (2242-2251). Date of Publication: 2021","IEEE Transactions on Neural Systems and Rehabilitation Engineering","2021","29",,"2242","2251","2021","Article",10.1109/TNSRE.2021.3121780
"Deep Learning for Accelerometric Data Assessment and Ataxic Gait Monitoring",,"Prochazka A., Dostal O., Cejnar P., Mohamed H.I., Pavelek Z., Valis M., Vysata O.","2021-02-22","2021-04-27","IEEE Transactions on Neural Systems and Rehabilitation Engineering (2021) 29 (360-367) Article Number: 9320586. Date of Publication: 2021","IEEE Transactions on Neural Systems and Rehabilitation Engineering","2021","29",,"360","367","2021","Article",10.1109/TNSRE.2021.3051093
"Objective assessments of human motor ability of the upper limb: A systematic review",,"Duque E., Trefftz H., Srivastava S.","2021-03-15","2021-05-31","Technology and Disability (2021) 33:1 (29-44). Date of Publication: 2021","Technology and Disability","2021","33","1","29","44","2021","Article",10.3233/TAD-200263
"Voice for Health: The Use of Vocal Biomarkers from Research to Clinical Practice",,"Fagherazzi G., Fischer A., Ismael M., Despotovic V.","2021-05-24","2021-08-04","Digital Biomarkers (2021) 5:1 (78-88). Date of Publication: 1 Jan 2021","Digital Biomarkers","2021","5","1","78","88","1 Jan 2021","Review",10.1159/000515346
"What the Tech? The Management of Neurological Dysfunction Through the Use of Digital Technology",,"Carswell C., Rea P.M.","2021-05-14","2021-05-20","Advances in Experimental Medicine and Biology (2021) 1317 (131-145). Date of Publication: 2021","Advances in Experimental Medicine and Biology","2021","1317",,"131","145","2021","Chapter",10.1007/978-3-030-61125-5_7
"Electronic Pill Bottle Monitoring to Promote Medication Adherence for People with Multiple Sclerosis: A Randomized Virtual Clinical Trial",,"Rice D.R., Kaplan T.B., Hotan G.C., Vogel A.C., Matiello M., Gillani R., Hutto S.K., Ham A., Klawiter E., George I., Galetta K., Mateen F.J.",,"2021-07-30","Multiple Sclerosis Journal (2021) 27:1 SUPPL (30-31). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","1 SUPPL","30","31","2021","Conference Abstract",10.1177/13524585211015908
"Smartphone-Based Symbol-Digit Modalities Test Reliably Captures Brain Damage in Multiple Sclerosis",,"Pham L.K., Harris T., Varosanec M., Morgan V., Kosa P., Bielekova B.",,"2021-07-30","Multiple Sclerosis Journal (2021) 27:1 SUPPL (32-33). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","1 SUPPL","32","33","2021","Conference Abstract",10.1177/13524585211015908
"Effectiveness, Safety and Patient-reported Outcomes of Ofatumumab in Relapsing Multiple Sclerosis Patients Switching from Dimethyl Fumarate or Fingolimod: ARTIOS Phase 3b Study Design",,"Craner M., Bove R., Langdon D., Detka D., Ricart J., Mistry A., Maxwell P., Pisal C.B., Desireddy P., Stoneman D., Ziehn M., Derfuss T.",,"2021-07-30","Multiple Sclerosis Journal (2021) 27:1 SUPPL (35). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","1 SUPPL","35",,"2021","Conference Abstract",10.1177/13524585211015908
"Random Neural Network Features in Patients with Aggressive Multiple Sclerosis Undergoing Autologous Hematopoietic Stem Cell Transplant",,"Hamwi M., Melkus G., Thebault S., Walker L., Chakraborty S., Torres C., Aviv R.I., Freedman M.S.",,"2021-07-30","Multiple Sclerosis Journal (2021) 27:1 SUPPL (18). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","1 SUPPL","18",,"2021","Conference Abstract",10.1177/13524585211015908
"Intensive Neurorehabilitation and Gait Improvement in Progressive Multiple Sclerosis: Evidence from Clinical, Kinematic, and Electromyographic Analyses",,"Huang S.-C., Guerrieri S., Dalla Costa G., Pisa M., Leccabue G., Gregoris L., Comi G., Leocani L.",,"2021-12-27","Multiple Sclerosis Journal (2021) 27:3 SUPPL (34). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","3 SUPPL","34",,"2021","Conference Abstract",10.1177/13524585211053237
"Investigation of e-health literacy in individuals with multiple sclerosis (ms) in turkey",,"Tosun A.T., Işiklar C., Yildirim M.",,"2021-12-27","Multiple Sclerosis Journal (2021) 27:3 SUPPL (20). Date of Publication: 2021","Multiple Sclerosis Journal","2021","27","3 SUPPL","20",,"2021","Conference Abstract",10.1177/13524585211053237
